,weight_bin,handedness,height,weight,avg,HR,Unnamed: 6
0,160,Both,70.3529411765,157.352941176,0.237647058824,22.2352941176,
1,160,Left,70.3529411765,158.235294118,0.230058823529,63.5294117647,
2,160,Right,70.24,156.58,0.21814,32.96,
3,170,Both,71.2857142857,167.714285714,0.235380952381,13.1428571429,
4,170,Left,70.7179487179,168.153846154,0.241666666667,50.1538461538,
5,170,Right,71.1775700935,167.775700935,0.217299065421,30.9626168224,
6,180,Both,71.7037037037,177.407407407,0.212333333333,44.8518518519,
7,180,Left,72.1348314607,177.438202247,0.221719101124,46.3820224719,
8,180,Right,72.3006134969,177.509202454,0.173159509202,32.2147239264,
9,190,Both,73.0869565217,186.913043478,0.194869565217,29.652173913,
10,190,Left,72.8055555556,186.763888889,0.206611111111,59.9583333333,
11,190,Right,73.0,187.4,0.165584210526,44.7578947368,
12,200,Both,73.3076923077,195.615384615,0.117307692308,41.0769230769,
13,200,Left,73.7096774194,196.322580645,0.184129032258,66.8709677419,
14,200,Right,73.8524590164,196.745901639,0.175172131148,63.3606557377,
15,210,Both,74.5,207.0,0.244,131.0,
16,210,Left,74.9565217391,206.695652174,0.151130434783,46.7826086957,
17,210,Right,75.1044776119,206.910447761,0.135462686567,47.7014925373,
18,220,Both,78.0,212.0,0.114,0.0,
19,220,Left,76.1818181818,218.181818182,0.093,48.1818181818,
20,220,Right,75.3571428571,215.857142857,0.186892857143,59.5714285714,
21,230,Both,,,,,
22,230,Left,76.6666666667,229.333333333,0.255333333333,170.0,
23,230,Right,77.4285714286,225.714285714,0.0921428571429,12.1428571429,
